Face_ID,Block_A,Block_B,Area,Nx,Ny,Nz,Cohesion,Friction
1,5672,0,27.5,NaN,NaN,NaN,NaN,NaN
2,14883,0,30.0,NaN,NaN,NaN,NaN,NaN
3,11966,0,21.25,NaN,NaN,NaN,NaN,NaN
4,16902,0,17.5,NaN,NaN,NaN,NaN,NaN
5,21384,0,13.25,NaN,NaN,NaN,NaN,NaN
6,9597,0,18.25,NaN,NaN,NaN,NaN,NaN
7,13987,0,14.0,NaN,NaN,NaN,NaN,NaN
8,20831,0,13.0,NaN,NaN,NaN,NaN,NaN
9,1454,0,12.0,NaN,NaN,NaN,NaN,NaN
10,21154,0,12.5,NaN,NaN,NaN,NaN,NaN
11,16895,0,14.75,NaN,NaN,NaN,NaN,NaN
12,22891,0,11.25,NaN,NaN,NaN,NaN,NaN
13,1403,0,11.75,NaN,NaN,NaN,NaN,NaN
14,23697,0,10.25,NaN,NaN,NaN,NaN,NaN
15,7225,0,11.0,NaN,NaN,NaN,NaN,NaN
16,20256,0,10.0,NaN,NaN,NaN,NaN,NaN
17,20261,0,9.25,NaN,NaN,NaN,NaN,NaN
18,13414,0,11.75,NaN,NaN,NaN,NaN,NaN
19,26738,0,9.75,NaN,NaN,NaN,NaN,NaN
20,27908,0,9.75,NaN,NaN,NaN,NaN,NaN
21,13138,0,8.25,NaN,NaN,NaN,NaN,NaN
22,8146,0,9.25,NaN,NaN,NaN,NaN,NaN
23,2963,0,8.5,NaN,NaN,NaN,NaN,NaN
24,25007,0,10.25,NaN,NaN,NaN,NaN,NaN
25,12801,0,8.0,NaN,NaN,NaN,NaN,NaN
26,9608,0,7.25,NaN,NaN,NaN,NaN,NaN
27,13421,0,6.5,NaN,NaN,NaN,NaN,NaN
28,4470,0,6.5,NaN,NaN,NaN,NaN,NaN
29,20855,0,7.0,NaN,NaN,NaN,NaN,NaN
