trace_id,face_id,x_face,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,parent_fracture_id
1,1,-0.009629006,0.02427317,-1.3330636,2.9,-0.04353118,-1.6493112,1.6,1,8466
2,1,0.021301953,0.057021957,5.356325,2.45,-0.014418052,4.9547625,0.6968999,1,29955
3,1,0.024561964,0.021986563,4.5374155,1.2,0.027137365,3.7421668,0.05,1,41145
4,1,0.041605778,0.07039023,2.4688864,7.35,0.012821328,0.9855595,3.9,1,161829
5,1,0.086464524,0.07192186,-1.3990685,7.75,0.10100718,-1.2734976,6.5,1,169022
6,1,-0.01251442,-0.018531177,-3.6146848,6.55,-0.006497661,-2.592178,4.3,1,190299
7,1,0.014222403,0.023554632,0.2618571,0.85,0.0048901746,0.12855536,0.05,1,204735
8,1,0.019938,0.030316792,4.2661715,5.9,0.0095592085,4.221307,5.75,1,328735
9,1,-0.011153313,-0.05994926,-4.4761367,3.9,0.03764263,-4.8749576,0.05,1,364605
10,1,0.02253998,0.044311926,-2.044035,2.9,0.0007680348,-3.3452373,0.9852745,1,385435
11,1,0.01688355,0.014956678,1.8323721,7.6,0.018810421,1.8429983,7.5,1,437309
12,1,-0.008685367,-0.07964793,-5.339848,3.8,0.062277194,-4.315848,1.6,1,448968
13,1,0.042426903,0.053420942,3.6387775,0.9,0.031432863,3.6597536,0.05,1,512832
14,1,-0.015045499,-0.07390775,-4.1452374,5.202744,0.043816753,-3.027008,3.5,1,564647
15,1,-0.033515554,-0.048782557,4.4846077,4.75,-0.01824855,4.283554,3.1,1,579500
16,1,-0.02740119,-0.0069080275,4.532534,5.55,-0.047894355,4.7186904,4.9,1,630053
17,1,0.09424085,0.086705804,-0.35004053,7.9,0.1017759,-0.595403,5.55,1,718924
18,1,0.015633235,0.034504052,-1.3728092,3.35,-0.0032375855,-1.163384,2.35,1,723371
19,1,0.0043522697,0.027109014,-1.8796257,0.05,-0.018404474,-2.0451653,1.65,2,768884
20,1,-0.0030492977,-0.0018786374,-4.195237,0.024980115,-0.004219958,-4.1848125,0.05,2,908254
21,1,-0.004883147,-0.0020221574,-1.0452373,2.3885338,-0.007744136,-2.5452373,4.3692503,2,908511
22,1,0.011631376,0.022716487,3.7547626,0.046191365,0.000546266,4.4778423,0.8,2,966653
23,1,-0.0004548605,0.0153976185,0.8547627,4.9256454,-0.01630734,2.4137275,6.1,2,999915
24,1,0.097628176,0.07558217,0.75476265,0.94183946,0.11967419,1.5047626,0.84615195,2,1100185
25,1,0.11484815,0.12720409,-0.82870764,6.75,0.102492206,-0.7134198,7.85,2,1127462
26,1,0.06371843,0.04815226,3.4547627,0.010010507,0.0792846,3.1547627,0.36089295,2,1288528
27,1,-0.028445497,-0.024028914,4.666332,5.35,-0.03286208,5.0793676,4.05,2,1422774
28,1,-0.059786607,-0.07684173,-4.472535,5.65,-0.042731483,-4.0413256,6.15,2,1494524
29,1,0.0751124,0.07400623,-5.195237,0.788796,0.07621857,-5.2952375,0.8170432,2,1518337
30,1,0.060919613,0.0067273,0.20476267,0.040702276,0.115111925,1.5047626,0.7773382,2,1553051
31,1,0.036908038,0.0298035,5.378957,1.1,0.04401258,4.7047625,1.8132046,2,1604485
32,1,-0.0029648847,0.009472649,-0.29523733,3.857276e-05,-0.015402418,-0.94523734,0.34514296,2,1778297
33,1,-0.0034074823,-0.008330794,-3.3417597,0.05,0.0015158296,-3.5300243,0.9,2,2134256
34,1,-0.0062426566,-0.0033911832,1.5069503,7.65,-0.00909413,1.4547627,7.724695,2,2199389
35,1,-0.01148908,0.042945057,-5.4818726,1.75,-0.065923214,-5.014361,3.7,2,2451116
36,1,-0.010094324,0.014553771,-2.2588441,0.1,-0.03474242,-2.0885005,1.35,3,2477730
37,1,0.05935861,0.03517325,1.2047744,3.55,0.08354397,0.29128897,5.4,3,2622032
38,1,-0.0139724165,0.007919034,-0.42163888,0.05,-0.03586387,-0.6452373,1.5636337,3,2794432
39,1,0.008708459,0.06351334,-3.0293624,3.25,-0.046096418,-4.055188,6.1,3,2838541
40,1,0.007954905,0.002594332,-4.3452373,0.035976604,0.013315478,-4.375974,0.5,3,2870582
41,1,-0.02214393,-0.00043881286,4.5047626,2.8930283,-0.043849047,5.115341,4.4,3,2887291
42,1,0.03724374,0.031432863,3.6971605,0.05,0.043054614,3.7033172,1.85,3,2898063
43,1,-0.014196229,-0.015257649,4.2706966,3.05,-0.013134809,4.1845665,5.55,3,2924421
44,1,0.09310141,0.11300835,-0.63542163,5.95,0.07319448,-0.18629064,7.9,3,2935281
45,1,-0.03283957,0.0034899765,-4.172744,0.55,-0.06916912,-4.38593,5.75,3,2969794
46,1,0.002280806,0.017023684,4.1736846,0.95,-0.012462073,3.8148336,2.7,3,3029918
47,1,0.02042605,-0.025744865,4.531269,3.65,0.06659696,3.9346895,6.25,3,3041881
48,1,0.01661171,-0.0018786374,-4.195237,0.010942236,0.035102054,-3.258008,1.35,3,3057506
49,1,0.06798788,0.07547107,-1.7004006,6.7,0.06050469,-1.5578042,7.7,3,3283595
50,1,0.029189209,0.07945275,-2.749959,2.9,-0.021074334,-2.6545768,4.65,3,3291878
51,1,0.12261459,0.09580479,2.625282,0.05,0.1494244,2.6414557,1.3,3,3322790
52,1,-0.026680876,-0.05429182,5.0047626,0.018564364,0.0009300658,4.7464314,0.85,3,3414730
53,1,0.1110106,0.10929412,0.57669485,1.8,0.11272709,1.0047626,2.70588,3,3424512
54,1,0.09642972,0.08305475,2.9547627,0.04725759,0.10980469,2.7030585,0.4,3,3444123
55,1,0.028183654,0.035137553,-2.1499352,7.15,0.021229757,-2.0560837,7.55,3,3530808
56,1,0.10810528,0.14939451,2.0252335,0.95,0.06681604,2.0192592,2.95,3,3533501
57,1,0.08335904,0.05704979,3.6047628,1.5696592,0.1096683,1.8759959,2.65,3,3543858
58,1,-0.035076078,-0.02141291,4.365368,0.05,-0.048739247,4.9840913,4.75,3,3547316
59,1,0.019473646,-0.0074574007,-0.041870855,0.75,0.046404693,-0.7612841,3.6,3,3705002
60,1,0.027701257,0.023865156,-4.6947575,0.05,0.031537358,-4.7315803,0.25,3,3802371
61,1,-0.03216157,-0.039291736,-3.254057,4.75,-0.025031406,-3.2388055,5.8,3,3808545
62,1,0.07642912,0.07530097,5.5047626,1.8204808,0.07755728,3.0547626,0.020280946,4,3878550
63,1,0.04718884,0.002746195,0.6547627,7.8681626,0.09163149,-3.7952373,2.193906,4,3884933
64,1,0.00050672446,0.064041406,0.4047627,7.438772,-0.063027956,-4.2452374,5.795577,4,3933153
65,1,0.047103446,0.099135466,2.8547628,7.127661,-0.0049285716,-5.4952374,2.5498815,4,3934136
66,1,0.052593224,0.030316792,4.256471,5.9,0.074869655,-0.99523735,4.966851,4,3935807
67,1,0.06625422,0.054951165,5.5047626,2.625054,0.07755728,3.0547626,0.009919008,4,3942944
68,1,0.040900744,0.071467996,5.4547625,1.7015977,0.010333492,3.9047627,0.03065236,4,3944429
69,1,-0.03442316,0.003992758,-1.9952374,4.5170145,-0.07283908,-5.3452373,3.718448,4,3945818
70,1,-0.035894856,-0.04375903,4.8547626,5.0104275,-0.028030682,3.2047627,3.7327247,4,3949402
71,1,0.017084291,0.019964177,1.875646,3.5,0.014204404,0.34740973,0.5,4,3964077
72,1,-0.091328986,-0.086953215,-4.5452375,5.4168534,-0.09570476,-4.6512423,5.35,4,3967207
73,1,0.0016625606,0.10168338,3.5047626,6.654516,-0.09835826,-5.2452374,4.1180353,4,3995761
74,1,0.0001530792,-0.0069080275,4.5254173,5.55,0.007214186,-0.14523733,0.015332419,4,4000087
75,1,0.05869812,0.09325636,3.1047628,0.69189066,0.02413988,0.8547627,0.0073351664,4,4002460
76,1,-0.015316775,-0.037350044,4.7547626,5.1726303,0.006716492,-0.09523733,0.04961792,4,4003495
77,1,0.058988,0.04393077,2.0047626,7.0130863,0.07404523,0.19044237,2.25,4,4007496
78,1,0.030528164,0.040908437,4.162921,6.0,0.02014789,0.75476265,0.042943537,4,4018219
79,1,0.02848217,0.04616151,4.1047626,6.081063,0.0108028315,-2.0452373,5.4485774,4,4022174
80,1,0.024164643,-0.024620617,4.6047626,5.370457,0.0729499,-5.195237,0.57600933,4,4029604
81,1,-0.03345939,-0.04208589,5.1047626,0.31470633,-0.024832891,4.4047627,0.009090604,4,4032274
