trace_id,face_id,x_face,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,parent_fracture_id,normal_x,normal_y,normal_z
1,1,-0.009629006,0.02427317,-1.3330636,2.9,-0.04353118,-1.6493112,1.6,1,8466,-0.4075918,0.892075,-0.19511819
2,1,0.021301953,0.057021957,5.356325,2.45,-0.014418052,4.9547625,0.6968999,1,29955,-0.25887978,0.94365567,-0.20614381
3,1,0.024561964,0.021986563,4.5374155,1.2,0.027137365,3.7421668,0.05,1,41145,-0.31641462,0.7800077,-0.5398794
4,1,0.041605778,0.07039023,2.4688864,7.35,0.012821328,0.9855595,3.9,1,161829,-0.17545578,0.90553474,-0.38629273
5,1,0.086464524,0.07192186,-1.3990685,7.75,0.10100718,-1.2734976,6.5,1,169022,-0.21684165,0.9717624,0.09304579
6,1,-0.01251442,-0.018531177,-3.6146848,6.55,-0.006497661,-2.592178,4.3,1,190299,-0.818149,0.5249956,0.234546
7,1,0.014222403,0.023554632,0.2618571,0.85,0.0048901746,0.12855536,0.05,1,204735,-0.24425538,0.957453,-0.15369776
8,1,0.019938,0.030316792,4.2661715,5.9,0.0095592085,4.221307,5.75,1,328735,-0.073658615,0.9581999,-0.27645484
9,1,-0.011153313,-0.05994926,-4.4761367,3.9,0.03764263,-4.8749576,0.05,1,364605,-0.28668755,0.9521726,-0.10572428
10,1,0.02253998,0.044311926,-2.044035,2.9,0.0007680348,-3.3452373,0.9852745,1,385435,-0.3185651,0.7871348,-0.528143
11,1,0.01688355,0.014956678,1.8323721,7.6,0.018810421,1.8429983,7.5,1,437309,0.10000204,0.9885232,0.11323206
12,1,-0.008685367,-0.07964793,-5.339848,3.8,0.062277194,-4.315848,1.6,1,448968,-0.62243587,0.72417873,0.29688177
13,1,0.042426903,0.053420942,3.6387775,0.9,0.031432863,3.6597536,0.05,1,512832,-0.073347464,0.9969603,0.02627425
14,1,-0.015045499,-0.07390775,-4.1452374,5.202744,0.043816753,-3.027008,3.5,1,564647,-0.32326984,0.80109584,0.50372815
15,1,-0.033515554,-0.048782557,4.4846077,4.75,-0.01824855,4.283554,3.1,1,579500,-0.4577949,0.8814328,-0.11619001
16,1,-0.02740119,-0.0069080275,4.532534,5.55,-0.047894355,4.7186904,4.9,1,630053,-0.67357033,0.6980965,0.24282569
