trace_id,fracture_id,set_id,face_id,face_x_m,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,observed_length_m,censoring_class,radius_m,nx,ny,nz
0,53326,1,1,0.0000,0.000000,-1.267870,-3.913117,0.000000,0.910117,2.845559,7.100939,0,3.591495,-0.500206,0.824170,-0.265589
1,218188,1,1,0.0000,0.000000,-5.423530,-2.813866,0.000000,-5.140049,-2.501785,0.421611,1,0.508330,-0.186388,0.727238,-0.660594
2,295259,1,1,0.0000,0.000000,-5.524993,-2.034107,0.000000,-5.407250,-1.731774,0.324451,1,1.129450,-0.339054,0.876634,-0.341402
3,586987,1,1,0.0000,0.000000,4.859712,-1.000442,0.000000,4.695104,0.344062,1.354544,0,0.721710,-0.375212,0.920069,0.112644
4,784962,1,1,0.0000,0.000000,-0.416266,-3.802663,0.000000,-0.364187,-2.793189,1.010816,0,0.506318,-0.258435,0.964746,-0.049772
5,940707,1,1,0.0000,0.000000,-2.274021,-2.510014,0.000000,-2.069696,-1.498763,1.031687,0,0.631637,-0.557809,0.813529,-0.164374
6,1043014,1,1,0.0000,0.000000,2.289470,0.118413,0.000000,1.655428,0.860906,0.976374,0,0.523427,-0.313347,0.722162,0.616681
7,1199099,1,1,0.0000,0.000000,1.578618,3.163484,0.000000,1.671442,3.682954,0.527698,1,1.146138,-0.309701,0.936008,-0.167256
8,1254923,1,1,0.0000,0.000000,-4.502876,-1.900566,0.000000,-4.603134,-1.602995,0.314007,0,1.288798,-0.596228,0.760795,0.256326
9,1415722,1,1,0.0000,0.000000,-2.156312,2.048911,0.000000,-2.391463,2.708149,0.699922,0,0.579378,-0.359614,0.878863,0.313491
10,1433166,1,1,0.0000,0.000000,3.794787,1.762395,0.000000,4.025147,2.190462,0.486114,1,0.603513,-0.649907,0.669260,-0.360155
11,1752218,1,1,0.0000,0.000000,-4.838846,-0.556355,0.000000,-5.042100,-0.172229,0.434586,0,0.604126,-0.330300,0.834282,0.441447
12,1904337,1,1,0.0000,0.000000,4.255549,-2.743007,0.000000,4.493031,-1.557266,1.209289,0,0.604934,-0.307657,0.932969,-0.186857
