seed,mode,set_id,kr_hat,best_lmin,adoption
101,window_mc,1,2.75,0.3,class_fraction_mismatch
101,window_mc,2,3.05,0.1,ok
101,window_mc,3,2.6500000000000004,0.1,ok
101,window_mc,5,3.5500000000000003,0.1,ok
101,hybrid,1,2.5,0.5,class_fraction_mismatch
101,hybrid,2,3.25,0.5,ok
101,hybrid,3,2.5,0.5,ok
101,hybrid,5,3.45,0.5,ok
102,window_mc,1,2.7,0.1,ok
102,window_mc,2,2.95,0.3,ok
102,window_mc,3,2.8,0.75,ok
102,window_mc,5,3.6,0.5,ok
102,hybrid,1,2.6,0.5,ok
102,hybrid,2,2.7,0.5,ok
102,hybrid,3,2.8,0.5,ok
102,hybrid,5,3.45,0.5,ok
103,window_mc,1,2.9000000000000004,0.2,ok
103,window_mc,2,3.35,0.1,ok
103,window_mc,3,3.05,0.3,ok
103,window_mc,5,3.5,0.2,ok
103,hybrid,1,2.7,0.5,ok
103,hybrid,2,3.7,0.5,ok
103,hybrid,3,2.85,0.5,ok
103,hybrid,5,3.5,0.5,ok
104,window_mc,1,3.05,0.5,ok
104,window_mc,2,3.8000000000000003,0.1,weak_identifiability
104,window_mc,3,3.25,0.2,ok
104,window_mc,5,3.9000000000000004,0.75,ok
104,hybrid,1,3.2,0.5,ok
104,hybrid,2,4.050000000000001,0.5,weak_identifiability
104,hybrid,3,3.3,0.5,ok
104,hybrid,5,3.85,0.5,ok
105,window_mc,1,2.8,0.1,ok
105,window_mc,2,2.75,0.1,ok
105,window_mc,3,3.1,0.75,ok
105,window_mc,5,3.65,0.75,ok
105,hybrid,1,2.55,0.5,ok
105,hybrid,2,2.6500000000000004,0.5,ok
105,hybrid,3,3.05,0.5,ok
105,hybrid,5,3.65,0.5,ok
106,window_mc,1,2.9000000000000004,0.75,ok
106,window_mc,2,2.9000000000000004,0.1,ok
106,window_mc,3,3.0,0.5,ok
106,window_mc,5,3.3,0.3,ok
106,hybrid,1,2.95,0.5,ok
106,hybrid,2,2.8,0.5,ok
106,hybrid,3,2.75,0.5,ok
106,hybrid,5,3.25,0.5,ok
107,window_mc,1,2.9000000000000004,0.2,ok
107,window_mc,2,3.3,0.3,ok
107,window_mc,3,2.85,0.1,ok
107,window_mc,5,4.050000000000001,0.3,ok
107,hybrid,1,2.85,0.5,ok
107,hybrid,2,3.65,0.5,weak_identifiability
107,hybrid,3,2.75,0.5,ok
107,hybrid,5,4.300000000000001,0.5,ok
108,window_mc,1,2.8,0.1,ok
108,window_mc,2,2.7,0.1,ok
108,window_mc,3,3.0,0.3,ok
108,window_mc,5,3.6,0.5,ok
108,hybrid,1,2.75,0.5,ok
108,hybrid,2,2.6,0.5,ok
108,hybrid,3,3.1,0.5,ok
108,hybrid,5,3.7,0.5,ok
109,window_mc,1,3.1,0.1,ok
109,window_mc,2,3.3,0.5,ok
109,window_mc,3,3.0,0.2,ok
109,window_mc,5,3.2,0.2,ok
109,hybrid,1,3.1,0.5,ok
109,hybrid,2,3.35,0.5,ok
109,hybrid,3,3.2,0.5,class_fraction_mismatch
109,hybrid,5,3.1500000000000004,0.5,ok
110,window_mc,1,3.3,0.3,ok
110,window_mc,2,2.7,0.3,ok
110,window_mc,3,3.0,0.5,ok
110,window_mc,5,4.2,0.2,ok
110,hybrid,1,3.3,0.5,ok
110,hybrid,2,2.55,0.5,ok
110,hybrid,3,2.75,0.5,ok
110,hybrid,5,4.300000000000001,0.5,ok
111,window_mc,1,3.1500000000000004,0.3,ok
111,window_mc,2,3.1,0.75,class_fraction_mismatch
111,window_mc,3,3.0,0.5,ok
111,window_mc,5,4.050000000000001,0.75,ok
111,hybrid,1,3.1500000000000004,0.5,ok
111,hybrid,2,2.85,0.5,class_fraction_mismatch
111,hybrid,3,3.1500000000000004,0.5,ok
111,hybrid,5,4.25,0.5,ok
112,window_mc,1,2.85,0.3,ok
112,window_mc,2,3.35,0.3,ok
112,window_mc,3,3.0,0.5,ok
112,window_mc,5,3.5500000000000003,0.3,ok
112,hybrid,1,2.9000000000000004,0.5,ok
112,hybrid,2,3.65,0.5,ok
112,hybrid,3,3.2,0.5,ok
112,hybrid,5,3.45,0.5,ok
113,window_mc,1,2.85,0.1,ok
113,window_mc,2,2.7,0.1,ok
113,window_mc,3,3.0,0.3,ok
113,window_mc,5,3.7,0.3,ok
113,hybrid,1,2.9000000000000004,0.5,ok
113,hybrid,2,2.55,0.5,ok
113,hybrid,3,2.85,0.5,ok
113,hybrid,5,3.65,0.5,ok
114,window_mc,1,2.85,0.2,ok
114,window_mc,2,3.0,0.5,ok
114,window_mc,3,3.05,0.1,ok
114,window_mc,5,3.85,0.3,ok
114,hybrid,1,2.85,0.5,ok
114,hybrid,2,2.75,0.5,ok
114,hybrid,3,2.95,0.5,ok
114,hybrid,5,4.0,0.5,ok
115,window_mc,1,2.7,0.3,ok
115,window_mc,2,2.85,0.75,ok
115,window_mc,3,2.95,0.3,ok
115,window_mc,5,3.5500000000000003,0.5,ok
115,hybrid,1,2.4,0.5,ok
115,hybrid,2,2.95,0.5,class_fraction_mismatch
115,hybrid,3,2.8,0.5,ok
115,hybrid,5,3.45,0.5,ok
116,window_mc,1,2.7,0.3,ok
116,window_mc,2,2.8,0.1,ok
116,window_mc,3,2.75,0.1,ok
116,window_mc,5,3.7,0.75,ok
116,hybrid,1,2.6,0.5,ok
116,hybrid,2,2.6,0.5,ok
116,hybrid,3,2.5,0.5,ok
116,hybrid,5,3.6,0.5,ok
117,window_mc,1,3.0,0.75,ok
117,window_mc,2,2.95,0.2,ok
117,window_mc,3,3.0,0.1,ok
117,window_mc,5,3.6,0.1,ok
117,hybrid,1,3.05,0.5,ok
117,hybrid,2,2.75,0.5,ok
117,hybrid,3,2.8,0.5,ok
117,hybrid,5,3.8000000000000003,0.5,ok
118,window_mc,1,2.55,0.3,ok
118,window_mc,2,3.0,0.2,ok
118,window_mc,3,2.95,0.1,ok
118,window_mc,5,3.7,0.2,ok
118,hybrid,1,2.5,0.5,ok
118,hybrid,2,3.1,0.5,ok
118,hybrid,3,3.1500000000000004,0.5,ok
118,hybrid,5,3.5,0.5,ok
119,window_mc,1,2.9000000000000004,0.3,ok
119,window_mc,2,2.85,0.2,ok
119,window_mc,3,3.05,0.1,ok
119,window_mc,5,3.6,0.2,ok
119,hybrid,1,2.85,0.5,ok
119,hybrid,2,2.75,0.5,ok
119,hybrid,3,2.9000000000000004,0.5,ok
