seed,mode,set_id,lmin_fit,kr_hat,fit_status,adoption_status,class_l1,q90_ratio
101,window_mc,1,0.1,2.15,ok,rejected,0.2972312930126578,1.0396037703053147
101,window_mc,1,0.2,2.55,class_fraction_mismatch,rejected,0.37605343047966,0.8308799819197414
101,window_mc,1,0.3,2.75,class_fraction_mismatch,rejected,0.3952467654154232,0.7831526548223883
101,window_mc,1,0.5,2.45,class_fraction_mismatch,rejected,0.3357663828955738,0.8749147136032468
101,window_mc,1,0.75,2.55,class_fraction_mismatch,rejected,0.3368754797853046,0.8437461537721582
101,window_mc,2,0.1,3.05,ok,accepted,0.11884276098499097,0.9172024012379221
101,window_mc,2,0.2,3.1500000000000004,ok,accepted,0.18077217111915142,0.8890750646967279
101,window_mc,2,0.3,2.6500000000000004,ok,provisional_accepted,0.1499659842420023,0.9837139558388123
101,window_mc,2,0.5,3.45,ok,provisional_accepted,0.1863481666987735,0.8166156473241668
101,window_mc,2,0.75,3.5500000000000003,ok,provisional_accepted,0.2138372378911875,0.8130458169647004
101,window_mc,3,0.1,2.6500000000000004,ok,provisional_accepted,0.10906381600259155,0.7154699395061049
101,window_mc,3,0.2,2.55,ok,provisional_accepted,0.07344332243737686,0.7476213527456629
101,window_mc,3,0.3,2.45,ok,provisional_accepted,0.08259785589628522,0.770414558163482
101,window_mc,3,0.5,2.35,ok,rejected,0.06896207802004906,0.8234475748776657
101,window_mc,3,0.75,2.55,ok,provisional_accepted,0.11108110322827114,0.8001303841674489
101,window_mc,5,0.1,3.5500000000000003,ok,accepted,0.1243615999091212,1.0042085771541773
101,window_mc,5,0.2,3.3,ok,provisional_accepted,0.09486359744757675,1.0569571878941122
101,window_mc,5,0.3,3.35,ok,accepted,0.10154469233224059,1.0388072960986698
101,window_mc,5,0.5,3.25,ok,provisional_accepted,0.14296009703794052,1.0465202932474396
101,window_mc,5,0.75,3.4000000000000004,ok,accepted,0.1583164773611327,1.0156801919914582
101,hybrid,1,0.1,2.4,class_fraction_mismatch,rejected,0.35905098571695776,0.9024857280382484
101,hybrid,1,0.2,2.45,class_fraction_mismatch,rejected,0.3572733568718426,0.8738814435002735
101,hybrid,1,0.3,2.45,class_fraction_mismatch,rejected,0.34047457114788793,0.8811205325909602
101,hybrid,1,0.5,2.5,class_fraction_mismatch,rejected,0.3500824625866758,0.8421064089042899
101,hybrid,1,0.75,2.5,class_fraction_mismatch,rejected,0.3242546439934406,0.8686513690569294
101,hybrid,2,0.1,3.35,ok,provisional_accepted,0.15750262589838804,0.871054243556355
101,hybrid,2,0.2,3.3,ok,accepted,0.20560905971413357,0.8711909506753283
101,hybrid,2,0.3,2.95,ok,accepted,0.19198609252979065,0.9092469267017877
101,hybrid,2,0.5,3.25,ok,accepted,0.16807437962417343,0.8496550432461794
101,hybrid,2,0.75,3.2,ok,accepted,0.1830881463293121,0.8670250397775566
101,hybrid,3,0.1,2.5,ok,provisional_accepted,0.08997587734330889,0.7513987741570822
101,hybrid,3,0.2,2.55,ok,provisional_accepted,0.0684731294056781,0.7371940671471643
101,hybrid,3,0.3,2.5,ok,provisional_accepted,0.09536343170814443,0.7720706262727443
101,hybrid,3,0.5,2.5,ok,provisional_accepted,0.10179152218425139,0.7812893008448016
101,hybrid,3,0.75,2.45,ok,provisional_accepted,0.09423593859700365,0.8293000399519475
101,hybrid,5,0.1,3.5,ok,accepted,0.1366211245735386,1.0175001690318322
101,hybrid,5,0.2,3.45,ok,accepted,0.11035015610720667,1.0148228443786722
101,hybrid,5,0.3,3.5,ok,accepted,0.11218821347858844,1.0141412444172193
101,hybrid,5,0.5,3.45,ok,accepted,0.17428415598581948,0.9935513826477063
101,hybrid,5,0.75,3.5,ok,accepted,0.16823455628723735,0.9912532611792583
102,window_mc,1,0.1,2.7,ok,accepted,0.021509312649705657,0.5516103788501844
102,window_mc,1,0.2,2.6500000000000004,ok,accepted,0.011791292936291303,0.5470900411961745
102,window_mc,1,0.3,2.55,ok,provisional_accepted,0.013387975092683177,0.5647419628495878
102,window_mc,1,0.5,2.6,ok,accepted,0.016695158955922936,0.527747769804867
102,window_mc,1,0.75,2.5,ok,provisional_accepted,0.024384301691433765,0.5244036523695308
102,window_mc,2,0.1,2.85,class_fraction_mismatch,rejected,0.3551800723816241,0.9178279141660477
102,window_mc,2,0.2,2.5,ok,provisional_accepted,0.22814083985940675,0.9541316066086742
102,window_mc,2,0.3,2.95,ok,accepted,0.20565314200890644,0.8448785338160238
102,window_mc,2,0.5,2.6,ok,provisional_accepted,0.14050945727592434,0.9524998096382192
102,window_mc,2,0.75,2.9000000000000004,ok,accepted,0.14175506268081,0.8272938976495621
102,window_mc,3,0.1,2.7,ok,provisional_accepted,0.10021248470164613,0.8785290222010829
102,window_mc,3,0.2,2.75,ok,accepted,0.08471574708487303,0.8668699658649559
102,window_mc,3,0.3,2.7,ok,provisional_accepted,0.10861878009101439,0.8991896495253233
102,window_mc,3,0.5,2.6500000000000004,ok,provisional_accepted,0.1039253267757192,0.8847407835203267
102,window_mc,3,0.75,2.8,ok,accepted,0.08134287806837256,0.7756266892656852
102,window_mc,5,0.1,3.8000000000000003,ok,accepted,0.05280766003708154,0.7707686970714245
102,window_mc,5,0.2,3.65,ok,accepted,0.045376317857820314,0.8026304335316602
102,window_mc,5,0.3,3.5,ok,accepted,0.06810418747037683,0.8280149408676131
102,window_mc,5,0.5,3.6,ok,accepted,0.1174097045014869,0.771113974575945
102,window_mc,5,0.75,3.95,ok,provisional_accepted,0.06725514106267748,0.6942943681645767
102,hybrid,1,0.1,2.55,ok,provisional_accepted,0.05096100571877961,0.5793479107103078
102,hybrid,1,0.2,2.6,ok,accepted,0.009089573980796791,0.5609034608946502
102,hybrid,1,0.3,2.6,ok,accepted,0.019595371916465966,0.5431428788956675
