interval_m,seed,set_id,kappa,kr_hat,P32_hat
1,1,1,13.26,2.833,0.8254083743801769
1,1,2,16.27,2.433,1.0920144484199963
1,1,3,12.34,2.633,1.1263822821978386
1,1,5,23.24,3.3,0.8784128827353962
2,1,1,15.51,2.767,0.8773032881194118
2,1,2,15.9,2.3,0.8319868471533179
2,1,3,10.98,2.567,1.1183651031656903
2,1,5,21.93,3.1,0.967798223009347
0.5,1,1,14.06,2.633,0.9123954835889607
0.5,1,2,17.79,2.567,1.0821571526398797
0.5,1,3,14.79,2.7,1.0595127958697605
0.5,1,5,23.08,3.367,0.9113204762353884
0.5,2,1,14.44,3.3,0.6766611537893911
0.5,2,2,15.65,2.833,1.2706749434828595
0.5,2,3,11.54,2.833,0.9004141271356795
0.5,2,5,24.44,3.433,0.9427782409633146
6,1,1,17.51,2.633,0.8459118625758076
6,1,2,15.39,2.9,0.6456776387370058
6,1,3,11.65,2.5,0.9419478208106725
6,1,5,21.66,3.367,0.8790631392373492
3,1,1,15.37,2.633,0.9155222827952068
3,1,2,14.69,2.433,0.8380085801796482
3,1,3,10.0,2.7,1.024273706617875
3,1,5,21.15,3.167,0.988943374731417
1,2,1,14.82,3.033,0.6608151635993481
1,2,2,15.91,3.1,1.0351482091335968
1,2,3,11.79,2.833,0.8837039589404517
1,2,5,23.7,3.5,0.8367243984155398
1,3,1,17.0,2.567,0.8044925600556323
1,3,2,16.0,3.567,0.5788035408103559
1,3,3,11.25,2.9,0.750686882598992
1,3,5,29.62,2.967,1.0231767001428929
6,2,1,14.93,2.9,0.8511486956099755
6,2,2,16.74,2.967,0.780380886462765
6,2,3,10.59,2.833,1.0689928208055295
6,2,5,24.65,3.633,0.9499004518664335
3,2,1,16.05,2.767,0.7434025260034465
3,2,2,16.43,3.167,0.7747139516958991
3,2,3,10.43,2.833,0.9393573375118836
3,2,5,27.72,3.567,0.8027209444493163
0.5,3,1,18.59,2.633,0.820568304176747
0.5,3,2,16.88,2.967,0.6202880578266947
0.5,3,3,10.27,2.967,0.8460271232560287
0.5,3,5,30.14,2.9,1.1541093825283308
2,2,1,14.64,2.967,0.7852939253018915
2,2,2,17.24,2.967,0.8748194069311872
2,2,3,10.55,3.1,0.8850585600226284
2,2,5,25.21,3.7,0.8395366070414287
3,3,1,15.34,2.767,0.8609896043365204
3,3,2,16.03,3.5,0.5999757237400368
3,3,3,10.4,3.1,0.859190451306866
3,3,5,26.16,3.1,0.9877306537433423
2,3,1,15.05,2.767,0.8416903572151765
2,3,2,15.4,4.1,0.5608077766925912
2,3,3,11.15,2.833,0.8681750011787133
2,3,5,26.05,3.167,0.8655785922087549
1,4,1,13.76,2.633,0.8778741149209568
1,4,2,20.77,3.633,0.6306810009445246
1,4,3,12.78,2.7,0.7381743486556358
1,4,5,23.59,3.367,0.8595436260249115
2,4,1,15.32,2.833,0.8642828936425782
2,4,2,15.17,3.5,0.6748020956113802
2,4,3,11.69,2.567,0.7514621443094187
2,4,5,22.93,3.3,0.9172802165205433
6,3,1,15.7,2.767,0.7400469144818675
6,3,2,13.21,3.367,0.6261019358139812
6,3,3,10.96,3.1,0.878798471277765
6,3,5,25.95,3.167,0.9186521374896011
0.5,4,1,13.36,2.633,0.9782631353688496
0.5,4,2,23.44,3.1,0.6792547024331129
0.5,4,3,16.23,2.7,0.7244724584129569
0.5,4,5,24.73,3.367,0.9739542355555163
6,4,1,16.15,2.633,0.816339552200561
6,4,2,15.5,2.967,0.734602985391845
6,4,3,10.94,2.767,0.8408347035984768
6,4,5,21.87,3.367,0.7969026448059262
3,4,1,15.26,2.7,0.7642744995350774
3,4,2,18.57,3.233,0.6696566843520276
3,4,3,10.43,2.633,0.8542401077606678
3,4,5,21.51,3.233,0.9516718590323445
0.5,5,1,14.44,3.3,0.5873844322188101
0.5,5,2,22.53,2.7,1.251435406335178
0.5,5,3,11.4,2.833,0.9517206611019577
0.5,5,5,26.9,3.767,0.9761746128690337
2,5,1,13.86,2.833,0.7660870638481518
2,5,2,14.95,3.233,0.852650865933903
2,5,3,12.49,3.1,0.9549099332443467
2,5,5,25.89,3.7,0.812688338272184
1,5,1,14.09,3.233,0.6130776898733213
1,5,2,18.11,2.833,1.0153487461070254
1,5,3,11.7,2.967,0.8769531350692789
1,5,5,26.49,3.7,0.7508076841593845
3,5,1,15.47,2.7,0.7912419662962349
3,5,2,14.6,3.3,0.8754678094924194
3,5,3,12.32,2.967,0.960759395380819
3,5,5,27.56,3.9,0.6613351743628813
6,5,1,14.95,2.633,0.9031340405565611
6,5,2,19.12,2.767,0.786789867406529
6,5,3,10.95,2.9,1.022803835511443
6,5,5,24.5,3.7,0.9267399001270133
0.5,6,1,14.53,3.3,0.6563153099498055
0.5,6,2,21.08,2.7,0.721141425370088
0.5,6,3,12.87,3.367,0.6140832932761252
0.5,6,5,29.16,3.167,1.1041936021609409
1,6,1,14.05,2.9,0.771945086701197
1,6,2,18.28,2.7,1.0363670890436052
1,6,3,13.69,3.167,0.6521284650842452
1,6,5,26.2,3.3,0.920045860391488
3,6,1,14.97,2.833,0.8406083197925833
3,6,2,17.33,2.7,0.91307999388923
3,6,3,12.72,2.9,0.7384644904118359
3,6,5,25.38,3.3,0.987428800317024
2,6,1,14.56,2.967,0.8460861930380954
2,6,2,20.12,2.833,1.0461087676807606
2,6,3,12.9,2.967,0.6898407011338025
2,6,5,26.3,3.5,0.7619494108449758
6,6,1,14.97,2.833,0.7137373930460843
6,6,2,15.44,2.633,0.840675905958011
6,6,3,11.36,2.967,0.8158389511136875
6,6,5,27.79,3.3,0.8033458897488247
3,7,1,16.18,2.9,0.6685341800120629
3,7,2,16.01,2.7,0.8562716822134931
3,7,3,11.03,2.967,1.2124526524374566
3,7,5,21.73,3.233,0.8745781715737028
2,7,1,15.63,2.967,0.6524497454819279
2,7,2,15.45,2.833,0.7357463250976471
2,7,3,10.87,2.967,1.1175096774684175
2,7,5,22.89,3.433,0.8911404713831339
1,7,1,14.84,3.1,0.6674887014476795
1,7,2,17.52,3.1,0.7154672357233216
1,7,3,10.51,2.967,1.0659835857146345
1,7,5,22.45,3.5,0.9170914500916574
6,7,1,15.35,2.767,0.7326741401323013
6,7,2,17.25,2.9,0.6521850500788621
6,7,3,11.47,3.167,1.0688179757679972
6,7,5,19.73,3.233,0.73536228209056
0.5,7,1,16.89,3.167,0.7064261981610283
0.5,7,2,17.24,3.7,0.5383953573969842
0.5,7,3,11.47,2.9,0.9272915922014194
0.5,7,5,22.05,3.433,0.8461645781189786
0.5,8,1,15.15,2.833,0.6773351675017976
0.5,8,2,13.08,4.367,0.4447629367133144
