interval_m,seed,set_id,kappa,kr_hat,P32_hat
0.5,1,1,14.06,2.633,1.0165273294364199
0.5,1,2,17.79,2.567,1.15695480787654
0.5,1,3,14.79,2.7,1.0722719208909433
0.5,1,5,23.08,3.367,0.9638401605852378
0.5,2,1,14.44,3.3,0.7137038777365196
0.5,2,2,15.65,2.833,1.258307159554863
0.5,2,3,11.54,2.833,0.9493689690313156
0.5,2,5,24.44,3.433,0.9923046153857801
2,1,1,15.51,2.767,0.9590385702396503
2,1,2,15.9,2.3,0.8249500345231173
2,1,3,10.98,2.567,1.1303440682989787
2,1,5,21.93,3.1,1.0260183268166823
6,1,1,17.51,2.633,0.9163110852641123
6,1,2,15.39,2.9,0.6546346623749469
6,1,3,11.65,2.5,1.057485425753726
6,1,5,21.66,3.367,0.9201071340258852
3,1,1,15.37,2.633,1.0432145214167226
3,1,2,14.69,2.433,0.924078228106651
3,1,3,10.0,2.7,0.9696853831237234
3,1,5,21.15,3.167,1.046139158734479
1,1,1,13.26,2.833,0.8707464450862783
1,1,2,16.27,2.433,1.112104707518544
1,1,3,12.34,2.633,1.1613813516242153
1,1,5,23.24,3.3,0.9236854436882765
2,3,1,15.05,2.767,0.8626131894596301
2,3,2,15.4,4.1,0.5722080646457233
2,3,3,11.15,2.833,0.9269696344297372
2,3,5,26.05,3.167,0.9030424847214327
1,4,1,13.76,2.633,0.925346572137498
1,4,2,20.77,3.633,0.6350145768262385
1,4,3,12.78,2.7,0.6895389830582611
1,4,5,23.59,3.367,0.9013027503837561
3,3,1,15.34,2.767,0.9400620452073515
3,3,2,16.03,3.5,0.6121362160923568
3,3,3,10.4,3.1,0.871285995716728
3,3,5,26.16,3.1,1.051206256443729
0.5,4,1,13.36,2.633,1.1010940965758014
0.5,4,2,23.44,3.1,0.6974538913385888
0.5,4,3,16.23,2.7,0.7357926637161887
0.5,4,5,24.73,3.367,1.0244455101816454
6,3,1,15.7,2.767,0.7871454919032717
6,3,2,13.21,3.367,0.6371698851293285
6,3,3,10.96,3.1,0.8967753077078662
6,3,5,25.95,3.167,0.9545973002777645
2,4,1,15.32,2.833,0.8367191383448574
2,4,2,15.17,3.5,0.6992097522399807
2,4,3,11.69,2.567,0.8212444308574757
2,4,5,22.93,3.3,0.9652212837347186
3,4,1,15.26,2.7,0.8320622806363062
3,4,2,18.57,3.233,0.6974276734484104
3,4,3,10.43,2.633,0.9555291657328859
3,4,5,21.51,3.233,0.9626973212971226
0.5,5,1,14.44,3.3,0.6195013375878609
0.5,5,2,22.53,2.7,1.2283429448550556
