angle_deg,seed,set_id,kappa,kr_hat,P32_hat
12,1,1,14.09,2.7,0.794222502037807
12,1,2,19.02,2.367,1.1990705364931558
12,1,3,11.71,2.7,1.0667227250563138
12,1,5,20.45,3.3,0.802798864089294
96,1,1,9.89,3.1,0.705834955373677
96,1,2,19.44,2.633,1.3351035379568459
96,1,3,12.03,2.567,0.9612698682992153
96,1,5,22.1,3.3,0.9475350915961607
0,1,1,13.26,2.833,0.8254083743801769
0,1,2,16.27,2.433,1.0920144484199963
0,1,3,12.34,2.633,1.1263822821978386
0,1,5,23.24,3.3,0.8784128827353962
72,1,1,13.1,2.9,0.7069758415259813
72,1,2,16.72,2.567,1.4202136689838625
72,1,3,7.89,2.767,0.8130751210449902
72,1,5,23.65,3.567,0.8479605213021866
24,1,1,14.44,2.767,0.763784984377573
24,1,2,19.65,2.367,1.2758680258981632
24,1,3,9.48,2.767,0.9782226305094919
24,1,5,24.93,3.567,0.8169672396022116
36,1,1,13.91,2.9,0.7779154343592637
36,1,2,16.95,2.5,1.3574018690470568
36,1,3,7.85,2.9,0.8941394360883571
36,1,5,21.45,3.367,0.7225085263244363
84,1,1,12.31,2.967,0.6831583264899813
84,1,2,17.69,2.633,1.3991703942486724
84,1,3,10.51,2.7,0.8891547867462322
84,1,5,22.45,3.433,0.908233448707038
60,1,1,13.72,2.9,0.7340319205665993
60,1,2,15.44,2.633,1.3995662561636681
60,1,3,6.43,2.633,0.7392527247984105
60,1,5,22.63,3.633,0.8324331842144993
48,1,1,14.1,2.833,0.7641076373721171
48,1,2,15.67,2.5,1.3255240979343623
48,1,3,7.31,2.833,0.9765855362264211
48,1,5,22.11,3.633,0.7317853527130528
108,1,1,8.61,2.833,0.7943153149939084
108,1,2,21.51,2.633,1.223177690875274
108,1,3,12.57,2.567,1.0965642357346261
108,1,5,22.34,3.1,1.0060355668229002
12,2,1,15.37,2.967,0.7372991473214056
12,2,2,19.83,3.033,1.028659187712534
12,2,3,13.62,2.833,0.78942865189894
12,2,5,24.63,3.3,0.8243524073568232
180,1,1,13.47,2.5,1.0191107382578515
180,1,2,16.03,2.7,0.9476637555367144
180,1,3,13.96,2.7,1.0556806447235203
180,1,5,24.34,3.233,1.00579872616745
0,2,1,14.82,3.033,0.6608151635993481
0,2,2,15.91,3.1,1.0351482091335968
0,2,3,11.79,2.833,0.8837039589404517
0,2,5,23.7,3.5,0.8367243984155398
24,2,1,14.21,2.9,0.7615151011950345
24,2,2,21.35,3.033,1.146572301768577
24,2,3,12.93,3.1,0.7366975544361748
24,2,5,20.58,3.7,0.8656788913286988
168,1,1,14.17,2.567,1.0265894800190938
168,1,2,15.05,2.767,1.299006699358529
168,1,3,13.06,2.633,1.0606347582459261
168,1,5,24.3,3.233,1.001920435061234
36,2,1,13.64,2.9,0.7520609110535619
36,2,2,22.83,2.767,1.1422847024124947
36,2,3,14.12,3.633,0.6680734423217454
36,2,5,21.72,3.567,0.9771098267445739
120,1,1,9.11,2.567,0.7750531403389755
120,1,2,22.32,2.7,1.2451829502927925
120,1,3,13.6,2.5,1.1314294287488693
120,1,5,23.6,3.233,1.0118634630197676
156,1,1,13.56,2.5,0.9843466618904986
156,1,2,18.76,2.767,1.1110561522814622
156,1,3,13.42,2.5,1.078314203105911
156,1,5,23.68,3.233,1.0039277163311107
132,1,1,11.4,2.567,0.8860527831484221
132,1,2,22.15,2.633,1.2198946492128084
132,1,3,13.86,2.433,1.1548241088081417
132,1,5,23.86,3.167,0.9628859838120949
144,1,1,13.42,2.5,0.9191497038068048
144,1,2,22.03,2.9,1.1931633649285653
144,1,3,14.36,2.433,1.1210604448312134
144,1,5,24.5,3.167,0.999821714898023
48,2,1,13.85,2.833,0.7684144313158937
48,2,2,21.81,2.767,1.160973140103773
48,2,3,9.96,4.1,0.6495188451149243
48,2,5,21.34,3.633,0.9477028332393154
96,2,1,9.96,3.3,0.6902955732506932
96,2,2,18.69,2.633,1.2577161270886548
96,2,3,11.4,3.5,0.7767280105084208
96,2,5,22.71,3.367,1.0118472391466233
108,2,1,9.0,3.3,0.5174948918371567
108,2,2,19.86,2.7,1.2392123324873763
108,2,3,10.94,3.433,0.8193996558062714
108,2,5,22.1,3.367,1.026753971971893
156,2,1,12.72,2.9,0.7155605461114701
156,2,2,13.93,2.7,0.9588406715109715
156,2,3,10.94,3.167,0.8684587156578689
156,2,5,24.83,3.633,0.9207162883574617
72,2,1,12.72,3.167,0.7287220195844972
72,2,2,20.8,2.633,1.2715233032985982
72,2,3,8.75,3.633,0.6746576693944569
72,2,5,22.81,3.433,1.0116135926187662
84,2,1,11.82,3.1,0.6836236710489949
84,2,2,19.66,2.7,1.2894127466179188
84,2,3,10.36,3.5,0.5953290014123074
84,2,5,22.8,3.367,1.015687219970257
144,2,1,13.92,3.033,0.5969025556311188
144,2,2,16.06,2.633,1.1439871217798998
144,2,3,10.87,3.433,0.8525108066691753
144,2,5,22.37,3.7,0.9592171184404911
132,2,1,12.96,3.233,0.5636075722466448
132,2,2,17.71,2.767,1.1449024915764956
132,2,3,10.46,3.567,0.847828434700441
