angle_deg,seed,set_id,kappa,kr_hat,P32_hat
24,1,1,14.44,2.767,0.811956577049624
24,1,2,19.65,2.367,1.4612079382680312
24,1,3,9.48,2.767,1.0525150440906061
24,1,5,24.93,3.567,0.8429886853348376
72,1,1,13.1,2.9,0.6391100756126635
72,1,2,16.72,2.567,1.4035672535134909
72,1,3,7.89,2.767,0.8567669532560117
72,1,5,23.65,3.567,0.8954524574601699
84,1,1,12.31,2.967,0.7360047798541108
84,1,2,17.69,2.633,1.5256242783305645
84,1,3,10.51,2.7,0.7731481962480611
84,1,5,22.45,3.433,0.9643945987213934
0,1,1,13.26,2.833,0.8707464450862783
0,1,2,16.27,2.433,1.112104707518544
0,1,3,12.34,2.633,1.1613813516242153
0,1,5,23.24,3.3,0.9236854436882765
12,1,1,14.09,2.7,0.8033137272738836
12,1,2,19.02,2.367,1.3607482193353724
12,1,3,11.71,2.7,1.160474976205374
12,1,5,20.45,3.3,0.8025611771783299
60,1,1,13.72,2.9,0.7536824389122297
60,1,2,15.44,2.633,1.4204679659663029
60,1,3,6.43,2.633,0.7223171073100274
60,1,5,22.63,3.633,0.8806447787406474
36,1,1,13.91,2.9,0.8057875638126727
36,1,2,16.95,2.5,1.6156236906000467
36,1,3,7.85,2.9,0.9555689202111716
36,1,5,21.45,3.367,0.7180082364334534
108,1,1,8.61,2.833,0.7972903915456913
108,1,2,21.51,2.633,1.3465354647681913
108,1,3,12.57,2.567,1.1780375253078814
108,1,5,22.34,3.1,1.0391237864738776
96,1,1,9.89,3.1,0.748533651247094
96,1,2,19.44,2.633,1.402806855321775
96,1,3,12.03,2.567,1.01674419582554
96,1,5,22.1,3.3,1.0070589162838608
48,1,1,14.1,2.833,0.43721199147546447
48,1,2,15.67,2.5,1.5183898656284514
48,1,3,7.31,2.833,1.0275520651715988
48,1,5,22.11,3.633,0.7715179295008359
120,1,1,9.11,2.567,0.9057621816912502
120,1,2,22.32,2.7,1.3368791174650971
120,1,3,13.6,2.5,1.2732042177147531
120,1,5,23.6,3.233,1.0665409386536375
12,2,1,15.37,2.967,0.7905354884822645
12,2,2,19.83,3.033,1.0852672519687563
12,2,3,13.62,2.833,0.8281476396132094
12,2,5,24.63,3.3,0.8677911580691325
24,2,1,14.21,2.9,0.7884336798537022
24,2,2,21.35,3.033,1.2247620779571453
24,2,3,12.93,3.1,0.7576386707291854
24,2,5,20.58,3.7,0.8933963432432102
36,2,1,13.64,2.9,0.8114060581094941
36,2,2,22.83,2.767,1.182259786058135
36,2,3,14.12,3.633,0.6909892612082215
36,2,5,21.72,3.567,1.0244498770546093
0,2,1,14.82,3.033,0.6836013927864657
0,2,2,15.91,3.1,1.0965421428621245
0,2,3,11.79,2.833,0.9240846304048156
0,2,5,23.7,3.5,0.853323206516839
180,1,1,13.47,2.5,1.1252309260041056
180,1,2,16.03,2.7,1.0127210527736523
180,1,3,13.96,2.7,1.0349728474584154
180,1,5,24.34,3.233,1.0546824494608573
132,1,1,11.4,2.567,0.9466076697789304
132,1,2,22.15,2.633,1.360167082573129
132,1,3,13.86,2.433,1.1534882815186625
132,1,5,23.86,3.167,0.9685871030301395
156,1,1,13.56,2.5,0.8281095969425706
156,1,2,18.76,2.767,1.187188468304998
156,1,3,13.42,2.5,1.0019757603359765
156,1,5,23.68,3.233,1.0314620776080472
168,1,1,14.17,2.567,1.0553915972971695
168,1,2,15.05,2.767,1.4265520860043188
168,1,3,13.06,2.633,1.2131494893308337
168,1,5,24.3,3.233,1.0539723166382464
144,1,1,13.42,2.5,1.0254445861345902
144,1,2,22.03,2.9,1.2794119266670836
144,1,3,14.36,2.433,1.2100672336161051
144,1,5,24.5,3.167,1.067923986217819
48,2,1,13.85,2.833,0.8072734970250879
48,2,2,21.81,2.767,1.1945097334126378
48,2,3,9.96,4.1,0.6690628334100638
48,2,5,21.34,3.633,0.9884780232616979
60,2,1,13.25,2.967,0.8381798331477454
60,2,2,21.42,2.633,1.2930622222299952
60,2,3,9.11,3.367,0.7161114215871918
60,2,5,22.3,3.367,1.085976142840911
96,2,1,9.96,3.3,0.7256533643163512
96,2,2,18.69,2.633,1.3795621223856318
96,2,3,11.4,3.5,0.7930650377954169
96,2,5,22.71,3.367,1.0360725113315659
72,2,1,12.72,3.167,0.7704959432598512
72,2,2,20.8,2.633,1.3581598900320744
72,2,3,8.75,3.633,0.6859718175569433
72,2,5,22.81,3.433,1.0694515192216403
156,2,1,12.72,2.9,0.7889070931611775
156,2,2,13.93,2.7,0.9224626137879196
156,2,3,10.94,3.167,0.8729335929257005
156,2,5,24.83,3.633,0.9597766844436527
