
# 단면 프로파일, 폴리곤 단면의 좌표.
X=5038.262036  Y= 0.000000  Z= 0.000000
X=5416.370923  Y=1131.116627  Z= 0.000000
X=5545.237326  Y=2121.476729  Z= 0.000000
X=5498.651889  Y=3119.098640  Z= 0.000000
X=5278.054840  Y=4093.140027  Z= 0.000000
X=4890.266125  Y=5013.487566  Z= 0.000000
X=4346.057332  Y=5850.823151  Z= 0.000000
X=3660.210251  Y=6576.696237  Z= 0.000000
X=2854.999549  Y=7167.385394  Z= 0.000000
X=1956.684061  Y=7603.627576  Z= 0.000000
X=994.558879  Y=7871.196427  Z= 0.000000
X= 0.000000  Y=7961.366224  Z= 0.000000
X=-994.558879  Y=7871.196427  Z= 0.000000
X=-1956.684061  Y=7603.627576  Z= 0.000000
X=-2854.999549  Y=7167.385394  Z= 0.000000
X=-3660.210251  Y=6576.696237  Z= 0.000000
X=-4346.057332  Y=5850.823151  Z= 0.000000
X=-4890.266125  Y=5013.487566  Z= 0.000000
X=-5278.054840  Y=4093.140027  Z= 0.000000
X=-5498.651889  Y=3119.098640  Z= 0.000000
X=-5545.237326  Y=2121.476729  Z= 0.000000
X=-5416.370923  Y=1131.116627  Z= 0.000000
X=-5038.262036  Y= 0.000000  Z= 0.000000


# 2차원 좌표 (동일 단면의 좌표)
( 5038.262036,     0.000000)  
( 5416.370923,  1131.116627)  
( 5545.237326,  2121.476729)  
( 5498.651889,  3119.098640)  
( 5278.054840,  4093.140027)  
( 4890.266125,  5013.487566)  
( 4346.057332,  5850.823151)  
( 3660.210251,  6576.696237)  
( 2854.999549,  7167.385394)  
( 1956.684061,  7603.627576)  
(  994.558879,  7871.196427)  
(    0.000000,  7961.366224)  
( -994.558879,  7871.196427)  
(-1956.684061,  7603.627576)  
(-2854.999549,  7167.385394)  
(-3660.210251,  6576.696237)  
(-4346.057332,  5850.823151)  
(-4890.266125,  5013.487566)  
(-5278.054840,  4093.140027)  
(-5498.651889,  3119.098640)  
(-5545.237326,  2121.476729)  
(-5416.370923,  1131.116627)  
(-5038.262036,     0.000000)  

