length_bin_left,length_bin_right,length_bin_center,raw_count,corrected_count,corrected_probability,corrected_cdf
0.1500,0.6437,0.3969,36.00,10.7550,0.027648,0.027648
0.6437,1.1375,0.8906,47.00,47.9650,0.123303,0.150951
1.1375,1.6312,1.3844,39.00,60.9721,0.156741,0.307692
1.6312,2.1250,1.8781,42.00,56.7418,0.145866,0.453558
2.1250,2.6187,2.3719,45.00,47.0943,0.121065,0.574623
2.6187,3.1125,2.8656,27.00,37.2504,0.095759,0.670382
3.1125,3.6062,3.3594,20.00,28.8675,0.074210,0.744592
3.6062,4.1000,3.8531,18.00,22.2060,0.057085,0.801677
4.1000,4.5938,4.3469,14.00,17.0681,0.043877,0.845554
4.5938,5.0875,4.8406,6.00,13.1543,0.033816,0.879369
5.0875,5.5812,5.3344,8.00,10.1841,0.026180,0.905550
5.5812,6.0750,5.8281,7.00,7.9280,0.020381,0.925930
6.0750,6.5687,6.3219,8.00,6.2085,0.015960,0.941890
6.5687,7.0625,6.8156,12.00,4.8917,0.012575,0.954465
7.0625,7.5562,7.3094,13.00,3.8776,0.009968,0.964434
7.5562,8.0500,7.8031,5.00,3.0921,0.007949,0.972382
8.0500,8.5437,8.2969,7.00,2.4800,0.006375,0.978758
8.5437,9.0375,8.7906,3.00,2.0001,0.005142,0.983899
9.0375,9.5312,9.2844,7.00,1.6217,0.004169,0.988068
9.5312,10.0250,9.7781,3.00,1.3217,0.003398,0.991466
10.0250,10.5187,10.2719,4.00,1.0824,0.002782,0.994248
10.5187,11.0125,10.7656,15.00,0.8906,0.002289,0.996538
11.0125,11.5062,11.2594,3.00,0.7360,0.001892,0.998430
11.5062,12.0000,11.7531,0.00,0.6108,0.001570,1.000000
