length_bin_left,length_bin_right,length_bin_center,raw_count,corrected_count,corrected_probability,corrected_cdf
0.1500,0.6437,0.3969,26.00,2.3235,0.005927,0.005927
0.6437,1.1375,0.8906,52.00,58.2480,0.148592,0.154519
1.1375,1.6312,1.3844,71.00,99.2836,0.253275,0.407793
1.6312,2.1250,1.8781,74.00,86.5718,0.220846,0.628640
2.1250,2.6187,2.3719,61.00,58.9584,0.150404,0.779044
2.6187,3.1125,2.8656,38.00,36.1628,0.092252,0.871296
3.1125,3.6062,3.3594,30.00,21.2032,0.054090,0.925386
3.6062,4.1000,3.8531,15.00,12.2237,0.031183,0.956569
4.1000,4.5938,4.3469,7.00,7.0290,0.017931,0.974500
4.5938,5.0875,4.8406,11.00,4.0623,0.010363,0.984863
5.0875,5.5812,5.3344,4.00,2.3693,0.006044,0.990907
5.5812,6.0750,5.8281,2.00,1.3974,0.003565,0.994472
6.0750,6.5687,6.3219,1.00,0.8344,0.002129,0.996601
6.5687,7.0625,6.8156,0.00,0.5046,0.001287,0.997888
7.0625,7.5562,7.3094,0.00,0.3090,0.000788,0.998676
7.5562,8.0500,7.8031,0.00,0.1916,0.000489,0.999165
8.0500,8.5437,8.2969,0.00,0.1202,0.000307,0.999471
8.5437,9.0375,8.7906,0.00,0.0763,0.000195,0.999666
9.0375,9.5312,9.2844,0.00,0.0490,0.000125,0.999791
9.5312,10.0250,9.7781,0.00,0.0318,0.000081,0.999872
10.0250,10.5187,10.2719,0.00,0.0209,0.000053,0.999925
10.5187,11.0125,10.7656,0.00,0.0138,0.000035,0.999961
11.0125,11.5062,11.2594,0.00,0.0092,0.000024,0.999984
11.5062,12.0000,11.7531,0.00,0.0062,0.000016,1.000000
